Day fraction since midnight on 	pH probe (pH)	Source pressure (Pa)
0.6130593206	8.2927799225	0.0000000000
0.6130708896	8.3138599396	0.0000000000
0.6130824834	8.3050813675	0.0000000000
0.6130940493	8.2720289230	0.0000000000
0.6131056216	8.2468929291	0.0000000000
0.6131171983	8.2941904068	0.0000000000
0.6131287711	8.2989034653	0.0000000000
0.6131403473	8.2437353134	0.0000000000
0.6131519135	8.2431097031	0.0000000000
0.6131634826	8.2503404617	0.0000000000
0.6131750585	8.2896919250	0.0000000000
0.6131866317	8.2379827499	0.0000000000
0.6131982063	8.2497348785	0.0000000000
0.6132097900	8.2111186981	0.0000000000
0.6132213571	8.2724914551	0.0000000000
0.6132329385	8.2553405762	0.0000000000
0.6132445121	8.2335281372	0.0000000000
0.6132560807	8.2445592880	0.0000000000
0.6132676573	8.2500381470	0.0000000000
0.6132792330	8.2446098328	0.0000000000
0.6132908018	8.2864933014	0.0000000000
0.6133023760	8.2986183167	0.0000000000
0.6133139547	8.2618389130	0.0000000000
0.6133255209	8.1976261139	0.0000000000
0.6133370961	8.2359151840	0.0000000000
0.6133486773	8.2261314392	0.0000000000
0.6133602492	8.2012996674	0.0000000000
0.6133718242	8.1781940460	0.0000000000
0.6133833907	8.2223367691	0.0000000000
0.6133949761	8.1968803406	0.0000000000
0.6134065395	8.2504634857	0.0000000000
0.6134181169	8.1969404221	0.0000000000
0.6134296900	8.2404928207	0.0000000000
0.6134412722	8.2258644104	0.0000000000
0.6134528456	8.2425260544	0.0000000000
0.6134644155	8.2149066925	0.0000000000
0.6134759955	8.2217397690	0.0000000000
0.6134875636	8.2123308182	0.0000000000
0.6134991422	8.1979398727	0.0000000000
0.6135107047	8.2143812180	0.0000000000
0.6135222883	8.2119550705	0.0000000000
0.6135338587	8.2283477783	0.0000000000
0.6135454327	8.2669582367	0.0000000000
0.6135570106	8.2054033279	0.0000000000
0.6135685804	8.2498455048	0.0000000000
0.6135801614	8.2055463791	0.0000000000
0.6135917362	8.2144908905	0.0000000000
0.6136032976	8.2179880142	0.0000000000
0.6136148830	8.2294168472	0.0000000000
0.6136264583	8.2662668228	0.0000000000
0.6136380237	8.2013702393	0.0000000000
0.6136495980	8.2211322784	0.0000000000
0.6136611803	8.1868352890	0.0000000000
0.6136727548	8.2350406647	0.0000000000
0.6136843269	8.2257843018	0.0000000000
0.6136958916	8.1966323853	0.0000000000
0.6137074660	8.2079744339	0.0000000000
0.6137190502	8.2053670883	0.0000000000
0.6137306130	8.1798725128	0.0000000000
0.6137421930	8.1769800186	0.0000000000
0.6137537657	8.1735963821	0.0000000000
0.6137653405	8.1607866287	0.0000000000
0.6137769201	8.1688203812	0.0000000000
0.6137884834	8.1746387482	0.0000000000
0.6138000690	8.2185440063	0.0000000000
0.6138116352	8.1375312805	0.0000000000
0.6138232138	8.2087593079	0.0000000000
0.6138347827	8.1726770401	0.0000000000
0.6138463648	8.1328144073	0.0000000000
0.6138579400	8.1342735291	0.0000000000
0.6138695023	8.1766195297	0.0000000000
0.6138810829	8.1729269028	0.0000000000
0.6138926588	8.1783723831	0.0000000000
0.6139042284	8.1575622559	0.0000000000
0.6139158089	8.1474857330	0.0000000000
0.6139273772	8.1993017197	0.0000000000
0.6139389685	8.1670169830	0.0000000000
0.6139505218	8.1839036942	0.0000000000
0.6139620945	8.1666793823	0.0000000000
0.6139736767	8.1597690582	0.0000000000
0.6139852435	8.1947755814	0.0000000000
0.6139968290	8.1656780243	0.0000000000
0.6140083954	8.1562891006	0.0000000000
0.6140199648	8.1844787598	0.0000000000
0.6140315612	8.1311674118	0.0000000000
0.6140431217	8.1594886780	0.0000000000
0.6140546939	8.1418094635	0.0000000000
0.6140662675	8.1321220398	0.0000000000
0.6140778412	8.1613979340	0.0000000000
0.6140894150	8.1577920914	0.0000000000
0.6141009886	8.1962080002	0.0000000000
0.6141125676	8.1516275406	0.0000000000
0.6141241329	8.1653232574	0.0000000000
0.6141357108	8.1210327148	0.0000000000
0.6141472883	8.1479310989	0.0000000000
0.6141588645	8.1073141098	0.0000000000
0.6141704370	8.1301774979	0.0000000000
0.6141820025	8.1330413818	0.0000000000
0.6141935867	8.1778898239	0.0000000000
0.6142051726	8.1157770157	0.0000000000
0.6142167302	8.1361703873	0.0000000000
0.6142283018	8.1535844803	0.0000000000
0.6142398717	8.1793241501	0.0000000000
0.6142514475	8.1253290176	0.0000000000
0.6142630319	8.1157941818	0.0000000000
0.6142746036	8.1411552429	0.0000000000
0.6142861776	8.1859188080	0.0000000000
0.6142977551	8.1177940369	0.0000000000
0.6143093231	8.1156282425	0.0000000000
0.6143208973	8.1013689041	0.0000000000
0.6143324751	8.1326494217	0.0000000000
0.6143440440	8.1629180908	0.0000000000
0.6143556181	8.1552333832	0.0000000000
0.6143671873	8.2018499374	0.0000000000
0.6143787731	8.1417541504	0.0000000000
0.6143903490	8.1016902924	0.0000000000
0.6144019212	8.1454515457	0.0000000000
0.6144134910	8.1059217453	0.0000000000
0.6144250783	8.1103382111	0.0000000000
0.6144366377	8.1121101379	0.0000000000
0.6144482137	8.0838365555	0.0000000000
0.6144597919	8.1661605835	0.0000000000
0.6144713659	8.1137895584	0.0000000000
0.6144829382	8.1059951782	0.0000000000
0.6144945130	8.1235256195	0.0000000000
0.6145060803	8.0976486206	0.0000000000
0.6145176545	8.1014041901	0.0000000000
0.6145292305	8.1134023666	0.0000000000
0.6145408001	8.0720491409	0.0000000000
0.6145523804	8.1331844330	0.0000000000
0.6145639513	8.1239547729	0.0000000000
0.6145755420	8.0832290649	0.0000000000
0.6145871007	8.0755500793	0.0000000000
0.6145986687	8.0914783478	0.0000000000
0.6146102487	8.0410223007	0.0000000000
0.6146218217	8.1703968048	0.0000000000
0.6146333989	8.1098852158	0.0000000000
0.6146449709	8.1277904510	0.0000000000
0.6146565499	8.0868892670	0.0000000000
0.6146681259	8.0400409698	0.0000000000
0.6146796963	8.0317239761	0.0000000000
