Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6563208713	0.2236814946	3.0572607517
0.6563787299	0.2083048224	3.0645775795
0.6564366306	0.1962485760	3.0703229904
0.6564944871	0.1842251122	3.0760602951
0.6565523416	0.1709952205	3.0823819637
0.6566102189	0.1593184769	3.0879690647
0.6566680968	0.1471164674	3.0938150883
0.6567259513	0.1361286491	3.0990860462
0.6567838349	0.1258247197	3.1040346622
0.6568417125	0.1121579483	3.1106069088
0.6568995673	0.1010050103	3.1159775257
0.6569574449	0.0894544274	3.1215465069
0.6570153081	0.0804482549	3.1258935928
0.6570731857	0.0680828094	3.1318690777
0.6571310633	0.0565154292	3.1374661922
0.6571889181	0.0473270044	3.1419172287
0.6572467957	0.0354197063	3.1476919651
0.6573046755	0.0266597290	3.1519451141
0.6573625323	0.0166616999	3.1568043232
0.6574204099	0.0065824729	3.1617083549
0.6574782875	0.0045854836	3.1626806259
0.6575361421	-0.0122594917	3.1708903313
0.6575940197	-0.0219892096	3.1756391525
0.6576518973	-0.0316281579	3.1803486347
0.6577097562	-0.0390604064	3.1839833260
0.6577676338	-0.0499071702	3.1892931461
0.6578254933	-0.0568801053	3.1927099228
0.6578833731	-0.0685083717	3.1984136105
0.6579412280	-0.0767801031	3.2024753094
0.6579991309	-0.0835081339	3.2057816982
0.6580569854	-0.0938898325	3.2108883858
0.6581148442	-0.0929412842	3.2104215622
0.6581727218	-0.1062933132	3.2169971466
0.6582305994	-0.1157639995	3.2216670513
0.6582884541	-0.1248512492	3.2261524200
0.6583463317	-0.1328399032	3.2300992012
0.6584042115	-0.1384549141	3.2328753471
0.6584620659	-0.1467698663	3.2369894981
0.6585199472	-0.1539483219	3.2405443192
0.6585778102	-0.1621896476	3.2446289063
0.6586356901	-0.1703793705	3.2486915588
0.6586935466	-0.1754087806	3.2511882782
0.6587514245	-0.1834687293	3.2551922798
0.6588093022	-0.1892240345	3.2580535412
0.6588671566	-0.1973350942	3.2620890141
0.6589250574	-0.2023985982	3.2646100521
0.6589829119	-0.2093481123	3.2680723667
0.6590407664	-0.2180918753	3.2724323273
0.6590986438	-0.2234047502	3.2750835419
0.6591565217	-0.2296711206	3.2782125473
0.6592143762	-0.2372348309	3.2819921970
0.6592722536	-0.2441756725	3.2854633331
0.6593301315	-0.2496520728	3.2882039547
0.6593879861	-0.2560462058	3.2914059162
0.6594458637	-0.2611997128	3.2939882278
0.6595037413	-0.2680183649	3.2974071503
0.6595616186	-0.2748452723	3.3008327484
0.6596194756	-0.2791393995	3.3029887676
0.6596773530	-0.2811791599	3.3040132523
0.6597352105	-0.2915707827	3.3092360497
0.6597930881	-0.2967460752	3.3118393421
0.6598509657	-0.3023550808	3.3146624565
0.6599088202	-0.3074059784	3.3172061443
0.6599666980	-0.3128386736	3.3199436665
0.6600245790	-0.3192660213	3.3231844902
0.6600824588	-0.3239074945	3.3255262375
0.6601403134	-0.3275695741	3.3273746967
0.6601981907	-0.3349540234	3.3311042786
0.6602560455	-0.3391409218	3.3332202435
0.6603139232	-0.3380706608	3.3326792717
0.6603718008	-0.3479146957	3.3376574516
0.6604296594	-0.3520702422	3.3397605419
0.6604875370	-0.3588754535	3.3432066441
0.6605454144	-0.3601879776	3.3438715935
0.6606032689	-0.3653713167	3.3464984894
0.6606611468	-0.3720308244	3.3498756886
0.6607190046	-0.3764310479	3.3521084785
0.6607768867	-0.3794275224	3.3536295891
0.6608347459	-0.3834576011	3.3556761742
0.6608926236	-0.3881807327	3.3580758572
0.6609504894	-0.3929671049	3.3605089188
0.6610083670	-0.3949212730	3.3615026474
0.6610662449	-0.4009115100	3.3645501137
